book,vote,vote_title,row_type,head_code,head_title,approved_estimates_2025_2026,gross_expenditure_2026_2027,appropriations_in_aid_2026_2027,net_expenditure_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332101300,Forest rangers Camps Rehabilitation,61000000,81000000,0,81000000,80000000,110000000,997,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332101400,Forest roads,200000000,360000000,0,360000000,70000000,85000000,997,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332101700,Construction of Tree Seed Processing Units 2600,0,155000000,0,155000000,58300000,70300000,997,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332101800,Green Zones Development Support Project Phase II,800000000,250000000,200000000,50000000,0,0,998,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332101900,Tree Growing Campaign and Rangeland Restoration,3083041057,3720000000,0,3720000000,1730000000,2335000000,998,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332102000,Construction of Glass Houses - Regional,0,0,0,0,5000000,10000000,998,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332102200,Capacity Devlpmt for Modern Technology in Forest Fire Management,0,910000000,710000000,200000000,0,0,998,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332102400,"Construction of Boreholes, Nursery, Water Supply & Desalination Sys",0,0,0,0,25000000,32000000,998,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332102600,Kenya Watershed Services Improvement Project (KEWASIP),600000000,3650000000,0,3650000000,7811402900,10931402900,998,yes
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,head,1332103200,Completion of Ugenya Forestry College Workshops,25000000,0,0,0,0,0,998,yes
