book,vote,vote_title,programme_code,programme_title,prog_level,section,row_type,econ_code,econ_title,baseline_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-program-based-1011-2151,1134,"State Department for Culture, The Arts and Heritage",1134,"State Department for Culture, The Arts and Heritage",vote,current,econ,2200000,Use of Goods and Services,576797890,237755958,259560000,274290000,627,yes
fy-2026-27-program-based-1011-2151,1134,"State Department for Culture, The Arts and Heritage",1134,"State Department for Culture, The Arts and Heritage",vote,current,econ,2600000,Current Transfers to Govt. Agencies,2137827992,2366867300,2414050000,2570630000,627,yes
fy-2026-27-program-based-1011-2151,1134,"State Department for Culture, The Arts and Heritage",1134,"State Department for Culture, The Arts and Heritage",vote,current,econ,3100000,Non Financial Assets,16223278,0,0,0,627,yes
fy-2026-27-program-based-1011-2151,1134,"State Department for Culture, The Arts and Heritage",1134,"State Department for Culture, The Arts and Heritage",vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,125000000,72040000,10000000,10000000,627,yes
fy-2026-27-program-based-1011-2151,1134,"State Department for Culture, The Arts and Heritage",1134,"State Department for Culture, The Arts and Heritage",vote,capital,econ,3100000,Non Financial Assets,86980000,72000000,115000000,42000000,627,yes
fy-2026-27-program-based-1011-2151,1134,"State Department for Culture, The Arts and Heritage",1134,"State Department for Culture, The Arts and Heritage",vote,current,current_total,,Current Expenditure,2999569160,2877743258,2954880000,3134560000,627,yes
fy-2026-27-program-based-1011-2151,1134,"State Department for Culture, The Arts and Heritage",1134,"State Department for Culture, The Arts and Heritage",vote,capital,capital_total,,Capital Expenditure,211980000,144040000,125000000,52000000,627,yes
fy-2026-27-program-based-1011-2151,1134,"State Department for Culture, The Arts and Heritage",1134,"State Department for Culture, The Arts and Heritage",vote,total,total,,Total Expenditure,3211549160,3021783258,3079880000,3186560000,627,yes
fy-2026-27-program-based-1011-2151,1135,State Department for Youth Affairs and Creative Economy,1135,State Department for Youth Affairs and Creative Economy,vote,current,econ,2100000,Compensation to Employees,789917035,784140000,807670000,831900000,645,yes
fy-2026-27-program-based-1011-2151,1135,State Department for Youth Affairs and Creative Economy,1135,State Department for Youth Affairs and Creative Economy,vote,current,econ,2200000,Use of Goods and Services,551977384,475361194,565230000,575955350,645,yes
fy-2026-27-program-based-1011-2151,1135,State Department for Youth Affairs and Creative Economy,1135,State Department for Youth Affairs and Creative Economy,vote,current,econ,2600000,Current Transfers to Govt. Agencies,1537378421,1319876002,1322460000,1437510000,645,yes
fy-2026-27-program-based-1011-2151,1135,State Department for Youth Affairs and Creative Economy,1135,State Department for Youth Affairs and Creative Economy,vote,current,econ,3100000,Non Financial Assets,12980000,8000000,10070000,10164650,645,yes
fy-2026-27-program-based-1011-2151,1135,State Department for Youth Affairs and Creative Economy,1135,State Department for Youth Affairs and Creative Economy,vote,capital,econ,2200000,Use of Goods and Services,1121046325,1778810000,1820165000,1939085450,645,yes
